hisp,race,ST,year,n
Hispanic,African American,1,2010,8529
Hispanic,African American,2,2010,2790
Hispanic,African American,4,2010,15962
Hispanic,African American,5,2010,1555
Hispanic,African American,6,2010,92710
Hispanic,African American,8,2010,8923
Hispanic,African American,9,2010,23636
Hispanic,African American,10,2010,2386
Hispanic,African American,11,2010,3560
Hispanic,African American,12,2010,124124
Hispanic,African American,13,2010,31357
Hispanic,African American,15,2010,792
Hispanic,African American,16,2010,456
Hispanic,African American,17,2010,26928
Hispanic,African American,18,2010,7170
Hispanic,African American,19,2010,2012
Hispanic,African American,20,2010,4603
Hispanic,African American,21,2010,3884
Hispanic,African American,22,2010,8333
Hispanic,African American,23,2010,373
Hispanic,African American,24,2010,24131
Hispanic,African American,25,2010,31767
Hispanic,African American,26,2010,14221
Hispanic,African American,27,2010,5361
Hispanic,African American,28,2010,4967
Hispanic,African American,29,2010,7883
Hispanic,African American,30,2010,79
Hispanic,African American,31,2010,1492
Hispanic,African American,32,2010,5569
Hispanic,African American,33,2010,1048
Hispanic,African American,34,2010,49571
Hispanic,African American,35,2010,3521
Hispanic,African American,36,2010,228253
Hispanic,African American,37,2010,28913
Hispanic,African American,38,2010,155
Hispanic,African American,39,2010,17536
Hispanic,African American,40,2010,5378
Hispanic,African American,41,2010,3506
Hispanic,African American,42,2010,56103
Hispanic,African American,44,2010,8310
Hispanic,African American,45,2010,7365
Hispanic,African American,46,2010,460
Hispanic,African American,47,2010,5187
Hispanic,African American,48,2010,66140
Hispanic,African American,49,2010,1682
Hispanic,African American,50,2010,152
Hispanic,African American,51,2010,25396
Hispanic,African American,53,2010,7743
Hispanic,African American,54,2010,868
Hispanic,African American,55,2010,6675
Hispanic,Asian (PI) American,1,2010,775
Hispanic,Asian (PI) American,2,2010,778
Hispanic,Asian (PI) American,4,2010,3697
Hispanic,Asian (PI) American,5,2010,628
Hispanic,Asian (PI) American,6,2010,75711
Hispanic,Asian (PI) American,8,2010,2696
Hispanic,Asian (PI) American,9,2010,565
Hispanic,Asian (PI) American,10,2010,1032
Hispanic,Asian (PI) American,12,2010,7198
Hispanic,Asian (PI) American,13,2010,1849
Hispanic,Asian (PI) American,15,2010,20632
Hispanic,Asian (PI) American,16,2010,139
Hispanic,Asian (PI) American,17,2010,5931
Hispanic,Asian (PI) American,18,2010,1097
Hispanic,Asian (PI) American,19,2010,671
Hispanic,Asian (PI) American,20,2010,613
Hispanic,Asian (PI) American,21,2010,732
Hispanic,Asian (PI) American,22,2010,426
Hispanic,Asian (PI) American,24,2010,2134
Hispanic,Asian (PI) American,25,2010,1814
Hispanic,Asian (PI) American,26,2010,1761
Hispanic,Asian (PI) American,27,2010,1642
Hispanic,Asian (PI) American,28,2010,76
Hispanic,Asian (PI) American,29,2010,1673
Hispanic,Asian (PI) American,31,2010,483
Hispanic,Asian (PI) American,32,2010,4615
Hispanic,Asian (PI) American,33,2010,98
Hispanic,Asian (PI) American,34,2010,3268
Hispanic,Asian (PI) American,35,2010,2444
Hispanic,Asian (PI) American,36,2010,12315
Hispanic,Asian (PI) American,37,2010,3570
Hispanic,Asian (PI) American,38,2010,157
Hispanic,Asian (PI) American,39,2010,1241
Hispanic,Asian (PI) American,40,2010,573
Hispanic,Asian (PI) American,41,2010,2536
Hispanic,Asian (PI) American,42,2010,2239
Hispanic,Asian (PI) American,44,2010,46
Hispanic,Asian (PI) American,45,2010,760
Hispanic,Asian (PI) American,47,2010,584
Hispanic,Asian (PI) American,48,2010,14498
Hispanic,Asian (PI) American,49,2010,2385
Hispanic,Asian (PI) American,51,2010,5880
Hispanic,Asian (PI) American,53,2010,4291
Hispanic,Asian (PI) American,55,2010,1904
Hispanic,Native American,1,2010,4081
Hispanic,Native American,2,2010,2859
Hispanic,Native American,4,2010,26170
Hispanic,Native American,5,2010,1325
Hispanic,Native American,6,2010,129749
Hispanic,Native American,8,2010,24335
